timestamp,value,is_anomaly
1533838500,64,0
1533838800,49,0
1533839100,39,0
1533839400,54,0
1533839700,33,0
1533840000,32,0
1533840300,42,0
1533840600,31,0
1533840900,20,0
1533841200,31,0
1533841500,39,0
1533842100,40,0
1533842400,42,0
1533842700,55,0
1533843000,21,0
1533843300,30,0
1533843600,43,0
1533843900,37,0
1533844200,36,0
1533844500,23,0
1533844800,32,0
1533845100,36,0
1533845400,20,0
1533845700,37,0
1533846000,26,0
1533846300,33,0
1533846600,42,0
1533846900,37,0
1533847200,40,0
1533847500,37,0
1533847800,38,0
1533848100,31,0
1533848400,30,0
1533848700,45,0
1533849000,58,0
1533849300,49,0
1533849600,52,0
1533849900,72,0
1533850200,69,0
1533850500,79,0
1533850800,45,0
1533851100,87,0
1533851400,98,0
1533851700,101,0
1533852000,116,0
1533852300,103,0
1533852600,100,0
1533852900,121,0
1533853200,123,0
1533853500,158,0
1533853800,133,0
1533854100,153,0
1533854400,213,0
1533854700,199,0
1533855000,167,0
1533855300,216,0
1533855600,239,0
1533855900,211,0
1533856200,246,0
1533856500,259,0
1533856800,254,0
1533857100,244,0
1533857400,247,0
1533857700,273,0
1533858000,298,0
1533858300,233,0
1533858600,280,0
1533858900,302,0
1533859200,258,0
1533859500,304,0
1533859800,294,0
1533860100,316,0
1533860400,346,0
1533860700,323,0
1533861000,301,0
1533861300,314,0
1533861600,351,0
1533861900,371,0
1533862200,423,0
1533862500,360,0
1533862800,390,0
1533863100,356,0
1533863400,362,0
1533863700,375,0
1533864000,339,0
1533864300,432,0
1533864600,382,0
1533864900,423,0
1533865200,406,0
1533865500,413,0
1533865800,427,0
1533866100,377,0
1533866400,393,0
1533866700,450,0
1533867000,496,0
1533867300,473,0
1533867600,453,0
1533867900,440,0
1533868200,434,0
1533868500,425,0
1533868800,454,0
1533869100,471,0
1533869400,475,0
1533869700,467,0
1533870000,518,0
1533870300,479,0
1533870600,485,0
1533870900,501,0
1533871200,540,0
1533871500,455,0
1533871800,501,0
1533872100,513,0
1533872400,495,0
1533872700,530,0
1533873000,561,0
1533873300,543,0
1533873600,545,0
1533873900,596,0
1533874200,578,0
1533875400,522,0
1533875700,584,0
1533876000,568,0
1533876300,502,0
1533876600,520,0
1533876900,557,0
1533877200,491,0
1533877500,531,0
1533877800,551,0
1533878100,505,0
1533878400,522,0
1533878700,507,0
1533879000,502,0
1533879300,510,0
1533879600,494,0
1533879900,460,0
1533880200,474,0
1533880500,496,0
1533880800,588,0
1533881100,528,0
1533881400,528,0
1533881700,489,0
1533882000,513,0
1533882300,512,0
1533882600,458,0
1533882900,502,0
1533883200,475,0
1533883500,560,0
1533883800,572,0
1533884100,517,0
1533884400,561,0
1533884700,533,0
1533885000,481,0
1533885300,487,0
1533885600,554,0
1533885900,566,0
1533886200,534,0
1533886500,564,0
1533886800,482,0
1533887100,517,0
1533887400,495,0
1533887700,541,0
1533888000,492,0
1533888300,557,0
1533888600,580,0
1533888900,571,0
1533889200,561,0
1533889500,640,0
1533889800,548,0
1533890100,617,0
1533890400,612,0
1533890700,635,0
1533891000,626,0
1533891300,565,0
1533891600,554,0
1533891900,560,0
1533892200,588,0
1533892500,619,0
1533892800,583,0
1533893100,648,0
1533893400,664,0
1533893700,599,0
1533894000,658,0
1533894300,676,0
1533894600,620,0
1533894900,701,0
1533895200,736,0
1533895500,747,0
1533895800,728,0
1533896100,646,0
1533896400,641,0
1533896700,665,0
1533897000,716,0
1533897300,768,0
1533897600,700,0
1533897900,693,0
1533898200,674,0
1533898500,742,0
1533898800,724,0
1533899100,710,0
1533899400,728,0
1533899700,821,0
1533900000,741,0
1533900300,861,0
1533900600,867,0
1533900900,926,0
1533901200,950,0
1533901500,897,0
1533901800,924,0
1533902100,963,0
1533902400,1075,0
1533902700,926,0
1533903000,1059,0
1533903300,979,0
1533903600,1014,0
1533903900,980,0
1533904200,1013,0
1533904500,1037,0
1533904800,1053,0
1533905100,1079,0
1533905400,1050,0
1533905700,1035,0
1533906000,1044,0
1533906300,1073,0
1533906600,1101,0
1533906900,1156,0
1533907200,1104,0
1533907500,1090,0
1533907800,1109,0
1533908100,1055,0
1533908400,1053,0
1533908700,1073,0
1533909000,1139,0
1533909300,1029,0
1533909600,1097,0
1533909900,1014,0
1533910200,1010,0
1533910500,924,0
1533910800,974,0
1533911100,823,0
1533911400,846,0
1533911700,831,0
1533912000,881,0
1533912300,885,0
1533912600,841,0
1533912900,831,0
1533913200,780,0
1533913500,770,0
1533913800,763,0
1533914100,671,0
1533914400,645,0
1533914700,612,0
1533915000,580,0
1533915300,496,0
1533915600,528,0
1533915900,490,0
1533916200,526,0
1533916500,485,0
1533916800,123,0
1533917100,99,0
1533917400,86,0
1533917700,89,0
1533918000,82,0
1533918300,97,0
1533918600,92,0
1533918900,105,0
1533919200,100,0
1533919500,134,0
1533919800,114,0
1533920100,102,0
1533920400,118,0
1533920700,103,0
1533921000,103,0
1533921300,92,0
1533921600,110,0
1533921900,95,0
1533922200,87,0
1533922500,81,0
1533922800,125,0
1533923100,75,0
1533923400,80,0
1533923700,87,0
1533924000,75,0
1533924300,86,0
1533924600,69,0
1533924900,60,0
1533925200,41,0
1533925500,54,0
1533925800,46,0
1533926100,43,0
1533926400,54,0
1533926700,58,0
1533927000,40,0
1533927300,45,0
1533927600,41,0
1533927900,54,0
1533928200,39,0
1533928500,49,0
1533928800,35,0
1533929100,58,0
1533929400,42,0
1533929700,31,0
1533930000,37,0
1533930300,30,0
1533930600,29,0
1533930900,32,0
1533931200,23,0
1533931500,25,0
1533931800,23,0
1533932100,53,0
1533932400,41,0
1533932700,38,0
1533933000,30,0
1533933300,38,0
1533933600,32,0
1533933900,60,0
1533934200,41,0
1533934500,33,0
1533934800,42,0
1533935100,55,0
1533935400,65,0
1533935700,46,0
1533936000,43,0
1533936300,69,0
1533936600,88,0
1533936900,75,0
1533937200,83,0
1533937500,65,0
1533937800,93,0
1533938100,81,0
1533938400,100,0
1533938700,119,0
1533939000,103,0
1533939300,148,0
1533939600,154,0
1533939900,143,0
1533940200,152,0
1533940500,206,0
1533940800,171,0
1533941100,215,0
1533941400,200,0
1533941700,242,0
1533942000,230,0
1533942300,237,0
1533942600,277,0
1533942900,270,0
1533943200,245,0
1533943500,251,0
1533943800,291,0
1533944100,279,0
1533944400,317,0
1533944700,290,0
1533945000,354,0
1533945300,346,0
1533945600,309,0
1533945900,341,0
1533946200,391,0
1533946500,346,0
1533946800,394,0
1533947100,395,0
1533947400,381,0
1533947700,428,0
1533948000,482,1
1533948300,456,0
1533948600,398,0
1533948900,484,1
1533949200,385,0
1533949500,441,0
1533949800,442,0
1533950100,465,0
1533950400,461,0
1533950700,457,0
1533951000,398,0
1533951300,455,0
1533951600,474,0
1533951900,512,0
1533952200,472,0
1533952500,488,0
1533952800,529,1
1533953100,467,0
1533953400,569,1
1533953700,536,1
1533954000,546,1
1533954300,505,0
1533954600,519,0
1533954900,516,0
1533955200,551,0
