timestamp,value
1533864300,432
1533864600,382
1533864900,423
1533865200,406
1533865500,413
1533865800,427
1533866100,377
1533866400,393
1533866700,450
1533867000,496
1533867300,473
1533867600,453
1533867900,440
1533868200,434
1533868500,425
1533868800,454
1533869100,471
1533869400,475
1533869700,467
1533870000,518
1533870300,479
1533870600,485
1533870900,501
1533871200,540
1533871500,455
1533871800,501
1533872100,513
1533872400,495
1533872700,530
1533873000,561
1533873300,543
1533873600,545
1533873900,596
1533874200,578
1533875400,522
1533875700,584
1533876000,568
1533876300,502
1533876600,520
1533876900,557
1533877200,491
1533877500,531
1533877800,551
1533878100,505
1533878400,522
1533878700,507
1533879000,502
1533879300,510
1533879600,494
1533879900,460
1533880200,474
1533880500,496
1533880800,588
1533881100,528
1533881400,528
1533881700,489
1533882000,513
1533882300,512
1533882600,458
1533882900,502
1533883200,475
1533883500,560
1533883800,572
1533884100,517
1533884400,561
1533884700,533
1533885000,481
1533885300,487
1533885600,554
1533885900,566
1533886200,534
1533886500,564
1533886800,482
1533887100,517
1533887400,495
1533887700,541
1533888000,492
1533888300,557
1533888600,580
1533888900,571
1533889200,561
1533889500,640
1533889800,548
1533890100,617
1533890400,612
1533890700,635
1533891000,626
1533891300,565
1533891600,554
1533891900,560
1533892200,588
1533892500,619
1533892800,583
1533893100,648
1533893400,664
1533893700,599
1533894000,658
1533894300,676
1533894600,620
1533894900,701
1533895200,736
1533895500,747
1533895800,728
1533896100,646
1533896400,641
1533896700,665
1533897000,716
1533897300,768
1533897600,700
1533897900,693
1533898200,674
1533898500,742
1533898800,724
1533899100,710
1533899400,728
1533899700,821
1533900000,741
1533900300,861
1533900600,867
1533900900,926
1533901200,950
1533901500,897
1533901800,924
1533902100,963
1533902400,1075
1533902700,926
1533903000,1059
1533903300,979
1533903600,1014
1533903900,980
1533904200,1013
1533904500,1037
1533904800,1053
1533905100,1079
1533905400,1050
1533905700,1035
1533906000,1044
1533906300,1073
1533906600,1101
1533906900,1156
1533907200,1104
1533907500,1090
1533907800,1109
1533908100,1055
1533908400,1053
1533908700,1073
1533909000,1139
1533909300,1029
1533909600,1097
1533909900,1014
1533910200,1010
1533910500,924
1533910800,974
1533911100,823
1533911400,846
1533911700,831
1533912000,881
1533912300,885
1533912600,841
1533912900,831
1533913200,780
1533913500,770
1533913800,763
1533914100,671
1533914400,645
1533914700,612
1533915000,580
1533915300,496
1533915600,528
1533915900,490
1533916200,526
1533916500,485
1533916800,123
1533917100,99
1533917400,86
1533917700,89
1533918000,82
1533918300,97
1533918600,92
1533918900,105
1533919200,100
1533919500,134
1533919800,114
1533920100,102
1533920400,118
1533920700,103
1533921000,103
1533921300,92
1533921600,110
1533921900,95
